Datasets and Dataloaders created
Training starts
../../src/posterior_networks/PosteriorNetwork.py:166: UserWarning: Anomaly Detection has been enabled. This mode will increase the runtime and should only be enabled for debugging.
  with autograd.detect_anomaly():
Epoch 0 -> Val loss 1.833 | Val Acc.: 0.15
Epoch 99 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 100 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 101 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 102 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 103 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 104 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 105 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 106 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 107 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 108 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 109 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 110 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 111 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 112 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 113 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 114 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 115 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 116 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 117 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 118 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 119 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 120 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 121 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 122 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 123 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 124 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 125 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 126 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 127 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 128 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 129 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 130 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 131 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 132 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 133 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 134 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 135 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 136 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 137 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 138 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 139 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 140 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 141 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 142 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 143 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 144 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 145 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 146 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 147 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 148 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 149 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 150 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 151 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 152 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 153 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 154 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 155 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 156 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 157 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 158 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 159 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 160 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 161 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 162 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 163 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 164 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 165 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 166 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 167 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 168 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 169 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 170 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 171 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 172 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 173 -> Val loss 1.833 | Val Acc.: 0.35
Epoch 174 -> Val loss 1.833 | Val Acc.: 0.35
